Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
6000797,WRNW17,Complete (Partial)                                ,06/06/2017,9,"354,569.00","685,131.00",South East,APK5FU8J52T492UGWU,EH394BA,NORTH BERWICK,South,Castle Moffat WOA,Heugh WSZ
6000876,WRNW17,All Complete with Comments                        ,06/06/2017,,"240,830.00","566,069.00",South East,APRN958P57K50PFGRJ,DG86DY,NEWTON STEWART,South,Penwhirn WOA,Doonhill WSZ
6001410,WRNW17,All Complete with Comments                        ,06/06/2017,480,"279,010.00","654,302.00",South West,AP4FHB885J24T0Y0HL,ML20JA,WISHAW,South,Daer WOA,Gair WSZ
6001463,WRNW17,All Complete with Comments                        ,06/06/2017,107,"309,831.00","686,948.00",North East,APFH168R6UE4AXUGTG,KY114SZ,DUNFERMLINE,East,Glendevon WOA,Glassiebarns WSZ
6001998,WRNW17,All Complete                                      ,07/06/2017,30,"257,145.00","656,804.00",South West,APLKHA8Q57U4U7Y03K,G767XN,GLASGOW,West,Picketlaw WOA,High Borland WSZ
6002213,WRNW17,Complete (Partial)                                ,07/06/2017,85,"289,315.00","682,339.00",South West,AP52018V56758N10X5,FK27UD,FALKIRK,West,Carron Valley WOA,Woodend WSZ
6003897,WRNW17,All Complete with Comments                        ,08/06/2017,85,"289,315.00","682,339.00",South West,AP52018V56758N10X5,FK27UD,FALKIRK,West,Carron Valley WOA,Woodend WSZ
6003922,WRNW17,Complete (Partial)                                ,08/06/2017,145,"324,384.00","672,484.00",South East,AP1J268W77V43VN0XR,EH39PW,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
6004000,WRNW17,Complete (Partial)                                ,08/06/2017,25,"348,616.00","682,836.00",South East,APHA6N8D5NN48XY03T,EH312HP,GULLANE,South,Castle Moffat WOA,Gullane WSZ
6004595,WRNW17,All Complete with Comments                        ,09/06/2017,64,"279,776.00","691,324.00",South West,AP5X828P5KJ4C2RGDV,FK70BT,STIRLING,West,Turret West Region WOA,Dunblane WSZ
6004664,WRNW17,Complete (Partial)                                ,09/06/2017,71,"257,256.00","660,281.00",South West,APTXD98057J4WWQGF3,G432RX,GLASGOW,West,Milngavie WOA,M2 Mugdock WSZ
6004744,WRNW17,All Complete with Comments                        ,09/06/2017,10,"241,619.00","638,551.00",South West,AP6B8D875R14JAUGCT,KA12PB,KILMARNOCK,West,Amlaird WOA,Amlaird WSZ
6005310,WRNW17,All Complete with Comments                        ,09/06/2017,1,"276,725.00","562,864.00",South East,APC87Q8D5WK5X6AGU4,DG71LD,CASTLE DOUGLAS,South,Lochinvar WOA,Carlochan WSZ
6013009,WRNW17,All Complete with Comments                        ,12/06/2017,,"355,855.00","634,496.00",South East,APX0A78H55A5GBE0L3,TD69BZ,MELROSE,South,Howden WOA,Eildon WSZ
6013232,WRNW17,All Complete with Comments                        ,12/06/2017,16,"326,829.00","671,127.00",South East,APUB1G815V4427NGD1,EH165NL,EDINBURGH,South,Glencorse WOA,Nether Liberton WSZ
6013567,WRNW17,All Complete with Comments                        ,12/06/2017,71,"257,256.00","660,281.00",South West,APTXD98057J4WWQGF3,G432RX,GLASGOW,West,Milngavie WOA,M2 Mugdock WSZ
6013573,WRNW17,All Complete with Comments                        ,12/06/2017,25,"348,616.00","682,836.00",South East,APHA6N8D5NN48XY03T,EH312HP,GULLANE,South,Castle Moffat WOA,Gullane WSZ
6013822,WRNW17,All Complete with Comments                        ,12/06/2017,7,"255,245.00","657,062.00",South West,APXJAJ8053L4UBQG2K,G466SS,GLASGOW,West,South Moorhouse WOA,Malletsheugh WSZ
